Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.15 [1.11-1.18],2.425e-16,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.13 [1.10-1.16],6.486e-16,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.13 [1.10-1.16],5.981e-15,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.12 [1.09-1.15],4.385e-13,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.12 [1.09-1.14],8.261e-13,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,1.11 [1.09-1.15],7.782e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.11 [1.09-1.14],3.793e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.11 [1.08-1.14],1.218e-08,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-TG%,1.10 [1.08-1.13],2.466e-10,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.10 [1.08-1.13],3.064e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.10 [1.07-1.13],1.757e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-TG%,1.10 [1.07-1.13],4.408e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-FC%,1.09 [1.06-1.12],9.673e-04,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,1.09 [1.06-1.12],8.094e-05,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,1.08 [1.06-1.11],4.983e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-TG%,1.08 [1.06-1.11],1.311e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
GlycA,1.08 [1.05-1.10],0.005,**,Glycoprotein Acetyls
S-HDL-TG,1.08 [1.05-1.10],7.110e-04,***,Triglycerides in Small HDL
M-HDL-TG%,1.07 [1.05-1.10],0.007,**,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.07 [1.04-1.10],0.025,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
Clinical LDL-C,0.94 [0.91-0.96],0.024,*,Clinical LDL Cholesterol
S-HDL-C%,0.94 [0.91-0.96],0.018,*,Cholesterol to Total-Lipids in Small HDL percentage
Total-FC,0.93 [0.91-0.96],0.019,*,Total-Free Cholesterol
XS-VLDL-CE,0.93 [0.91-0.96],0.007,**,Cholesteryl Esters in Very Small VLDL
LDL-FC,0.93 [0.91-0.96],0.003,**,Free Cholesterol in LDL
IDL-PL,0.93 [0.91-0.95],0.002,**,Phospholipids in IDL
Unsaturation,0.93 [0.91-0.95],0.014,*,Degree of Unsaturation
L-VLDL-C%,0.93 [0.91-0.95],3.260e-04,***,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-CE%,0.93 [0.91-0.95],0.002,**,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-size,0.93 [0.91-0.95],0.010,*,Average Diameter for HDL Particles
S-VLDL-CE%,0.93 [0.91-0.95],9.760e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-LDL-FC,0.93 [0.91-0.95],2.746e-04,***,Free Cholesterol in Large LDL
IDL-L,0.93 [0.90-0.95],5.034e-04,***,Total-Lipids in IDL
XL-HDL-PL,0.93 [0.90-0.95],4.962e-04,***,Phospholipids in Very Large HDL
Total-C,0.93 [0.90-0.95],8.334e-04,***,Total-Cholesterol
M-VLDL-CE,0.93 [0.90-0.95],9.706e-05,***,Cholesteryl Esters in Medium VLDL
HDL-C,0.93 [0.90-0.95],0.002,**,HDL Cholesterol
Total-CE,0.93 [0.90-0.95],3.799e-04,***,Total-Esterified Cholesterol
XL-HDL-FC,0.92 [0.90-0.95],1.855e-05,***,Free Cholesterol in Very Large HDL
