Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.81 [1.69-1.95],3.632e-51,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.76 [1.64-1.89],6.674e-48,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.73 [1.60-1.88],1.953e-35,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.70 [1.58-1.84],1.964e-36,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.69 [1.57-1.83],2.064e-35,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.69 [1.57-1.82],7.315e-42,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,1.68 [1.54-1.84],3.083e-24,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.62 [1.49-1.77],7.176e-22,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-PL%,1.52 [1.41-1.64],3.441e-21,***,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,1.48 [1.36-1.63],3.569e-12,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,1.41 [1.31-1.52],1.769e-15,***,Creatinine
S-LDL-TG%,1.41 [1.30-1.52],1.762e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.38 [1.23-1.54],0.003,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.35 [1.26-1.45],1.022e-11,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.34 [1.24-1.45],8.564e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.29 [1.19-1.41],7.872e-04,***,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.81 [0.76-0.86],1.261e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,0.80 [0.74-0.86],8.973e-04,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
LDL-size,0.80 [0.74-0.86],8.673e-04,***,Average Diameter for LDL Particles
Omega-3,0.79 [0.73-0.86],0.032,*,Omega-3 Fatty Acids
Total-TG,0.78 [0.72-0.85],0.001,**,Total-Triglycerides
VLDL-TG,0.78 [0.72-0.85],8.797e-04,***,Triglycerides in VLDL
XL-VLDL-P,0.77 [0.71-0.85],0.002,**,Concentration of Very Large VLDL Particles
XL-HDL-CE%,0.77 [0.72-0.82],1.694e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,0.77 [0.71-0.84],7.739e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-C%,0.77 [0.70-0.84],0.003,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-L,0.76 [0.70-0.83],1.511e-04,***,Total-Lipids in Very Large VLDL
XS-VLDL-FC%,0.76 [0.72-0.81],2.039e-12,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE%,0.76 [0.70-0.83],3.187e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.76 [0.71-0.82],1.629e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,0.75 [0.72-0.80],3.524e-20,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
DHA,0.75 [0.69-0.83],1.891e-04,***,Docosahexaenoic Acid
MUFA,0.75 [0.70-0.81],2.353e-07,***,Monounsaturated Fatty Acids
L-HDL-FC%,0.75 [0.71-0.79],1.076e-18,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL,0.75 [0.68-0.82],1.149e-05,***,Phospholipids in Very Large VLDL
L-VLDL-TG,0.74 [0.68-0.81],3.194e-06,***,Triglycerides in Large VLDL
L-VLDL-PL,0.74 [0.68-0.80],1.991e-06,***,Phospholipids in Large VLDL
L-VLDL-P,0.73 [0.67-0.80],7.994e-07,***,Concentration of Large VLDL Particles
XL-VLDL-FC,0.72 [0.66-0.79],7.236e-08,***,Free Cholesterol in Very Large VLDL
L-VLDL-L,0.71 [0.65-0.78],1.913e-09,***,Total-Lipids in Large VLDL
M-VLDL-C%,0.71 [0.67-0.75],3.176e-22,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-FC,0.70 [0.64-0.77],1.482e-09,***,Free Cholesterol in Large VLDL
L-HDL-PL,0.70 [0.62-0.79],3.691e-04,***,Phospholipids in Large HDL
LA%,0.70 [0.65-0.75],2.906e-17,***,Linoleic Acid to Total-Fatty Acids percentage
M-VLDL-TG,0.70 [0.64-0.76],4.036e-11,***,Triglycerides in Medium VLDL
M-HDL-PL,0.70 [0.64-0.76],5.802e-10,***,Phospholipids in Medium HDL
S-HDL-FC%,0.69 [0.63-0.75],7.226e-11,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-FC,0.69 [0.62-0.77],4.109e-06,***,Free Cholesterol in Very Large HDL
S-VLDL-C%,0.69 [0.64-0.74],1.831e-20,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-L,0.68 [0.62-0.74],2.898e-12,***,Total-Lipids in Medium HDL
XL-HDL-L,0.68 [0.60-0.77],1.031e-04,***,Total-Lipids in Very Large HDL
M-VLDL-FC%,0.68 [0.63-0.72],1.880e-25,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.68 [0.63-0.72],2.109e-26,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-CE,0.68 [0.61-0.74],5.378e-11,***,Cholesteryl Esters in Medium HDL
L-LDL-CE%,0.67 [0.63-0.72],3.320e-23,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-VLDL-P,0.67 [0.62-0.74],1.285e-12,***,Concentration of Small VLDL Particles
L-HDL-L,0.67 [0.60-0.75],2.600e-06,***,Total-Lipids in Large HDL
