Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.18 [1.11-1.24],0.001,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,1.15 [1.10-1.21],0.003,**,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.15 [1.09-1.21],0.010,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.15 [1.10-1.21],0.001,**,Glycoprotein Acetyls
L-VLDL-PL%,1.13 [1.08-1.18],0.036,*,Phospholipids to Total-Lipids in Large VLDL percentage
HDL-FC,0.88 [0.84-0.92],0.036,*,Free Cholesterol in HDL
XL-HDL-FC,0.88 [0.84-0.92],0.002,**,Free Cholesterol in Very Large HDL
HDL-C,0.88 [0.83-0.92],0.035,*,HDL Cholesterol
XL-HDL-P,0.87 [0.83-0.91],7.402e-04,***,Concentration of Very Large HDL Particles
XL-HDL-PL,0.86 [0.82-0.90],1.546e-04,***,Phospholipids in Very Large HDL
XL-HDL-PL%,0.86 [0.82-0.91],0.002,**,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-L,0.86 [0.82-0.90],1.025e-04,***,Total-Lipids in Very Large HDL
XL-HDL-C,0.86 [0.82-0.90],7.085e-05,***,Cholesterol in Very Large HDL
L-HDL-P,0.86 [0.82-0.90],1.503e-04,***,Concentration of Large HDL Particles
XL-HDL-CE,0.86 [0.82-0.90],5.474e-05,***,Cholesteryl Esters in Very Large HDL
M-HDL-FC%,0.86 [0.81-0.90],0.002,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-PL,0.86 [0.82-0.90],1.624e-04,***,Phospholipids in Large HDL
L-HDL-FC,0.85 [0.81-0.90],4.548e-05,***,Free Cholesterol in Large HDL
L-HDL-CE,0.85 [0.81-0.89],2.426e-05,***,Cholesteryl Esters in Large HDL
HDL-size,0.85 [0.81-0.89],4.148e-05,***,Average Diameter for HDL Particles
L-HDL-L,0.85 [0.81-0.89],3.475e-05,***,Total-Lipids in Large HDL
L-HDL-C,0.85 [0.81-0.89],1.842e-05,***,Cholesterol in Large HDL
