Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.28 [1.92-2.71],6.410e-16,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.19 [1.87-2.57],6.579e-17,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,2.10 [1.76-2.50],4.160e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,2.06 [1.76-2.42],3.691e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,2.02 [1.68-2.43],1.278e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.91 [1.62-2.25],1.504e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.89 [1.63-2.20],1.010e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.86 [1.49-2.32],0.007,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.77 [1.51-2.07],2.936e-07,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.70 [1.44-2.01],1.157e-04,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.68 [1.43-1.96],2.065e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-C%,0.65 [0.56-0.75],0.001,**,Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-CE%,0.65 [0.56-0.75],4.261e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoA1,0.61 [0.51-0.74],0.047,*,Apolipoprotein A1
M-VLDL-CE%,0.61 [0.55-0.69],2.685e-12,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,0.61 [0.52-0.72],7.303e-04,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-CE,0.61 [0.51-0.73],0.014,*,Cholesteryl Esters in Small VLDL
M-VLDL-L,0.61 [0.51-0.73],0.010,**,Total-Lipids in Medium VLDL
XS-VLDL-FC%,0.61 [0.53-0.70],1.054e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-P,0.61 [0.51-0.73],0.020,*,Concentration of HDL Particles
Total-FA,0.61 [0.51-0.72],0.007,**,Total-Fatty Acids
XL-VLDL-CE%,0.60 [0.51-0.72],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.59 [0.49-0.71],0.002,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-PL,0.58 [0.49-0.70],0.002,**,Phospholipids in Small VLDL
HDL-L,0.58 [0.48-0.71],0.006,**,Total-Lipids in HDL
L-HDL-FC%,0.58 [0.51-0.66],1.125e-10,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,0.58 [0.50-0.66],1.705e-10,***,Cholesterol to Total-Lipids in Small LDL percentage
HDL-CE,0.58 [0.48-0.70],0.004,**,Cholesteryl Esters in HDL
S-HDL-FC%,0.58 [0.48-0.69],5.180e-04,***,Free Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C,0.57 [0.48-0.68],2.354e-04,***,Cholesterol in Small VLDL
S-VLDL-C%,0.57 [0.50-0.66],4.153e-09,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-C%,0.57 [0.50-0.65],1.107e-13,***,Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.56 [0.48-0.66],2.332e-07,***,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-PL,0.56 [0.47-0.68],2.147e-04,***,Phospholipids in Very Small VLDL
L-LDL-FC%,0.56 [0.49-0.64],2.414e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.56 [0.49-0.64],4.570e-13,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-L,0.56 [0.45-0.69],0.010,**,Total-Lipids in Large HDL
M-VLDL-P,0.56 [0.46-0.67],3.115e-04,***,Concentration of Medium VLDL Particles
HDL-C,0.55 [0.46-0.67],5.031e-04,***,HDL Cholesterol
VLDL-C,0.55 [0.47-0.66],5.114e-06,***,VLDL Cholesterol
Total-P,0.55 [0.46-0.66],1.797e-05,***,Total-Concentration of Lipoprotein Particles
L-HDL-CE,0.55 [0.44-0.68],0.006,**,Cholesteryl Esters in Large HDL
XL-HDL-PL,0.54 [0.44-0.67],0.005,**,Phospholipids in Very Large HDL
M-VLDL-PL,0.54 [0.45-0.65],9.550e-06,***,Phospholipids in Medium VLDL
L-HDL-C,0.54 [0.43-0.66],0.003,**,Cholesterol in Large HDL
M-VLDL-PL%,0.54 [0.47-0.61],1.925e-15,***,Phospholipids to Total-Lipids in Medium VLDL percentage
