Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.57 [1.36-1.82],2.737e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-PL%,1.22 [1.05-1.43],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.07 [0.92-1.25],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.02 [0.88-1.19],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-FC%,1.01 [0.86-1.17],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-FC%,0.68 [0.59-0.78],0.004,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-C,0.67 [0.58-0.77],0.005,**,Total-Cholesterol
Total-FA,0.66 [0.57-0.77],0.008,**,Total-Fatty Acids
Total-L,0.66 [0.57-0.76],0.001,**,Total-Lipids in Lipoprotein Particles
Total-CE,0.66 [0.57-0.76],0.002,**,Total-Esterified Cholesterol
S-LDL-CE%,0.66 [0.57-0.75],6.066e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-PL,0.63 [0.53-0.74],0.020,*,Phospholipids in Medium HDL
HDL-PL,0.62 [0.52-0.75],0.041,*,Phospholipids in HDL
Total-PL,0.62 [0.54-0.72],7.041e-05,***,Total-Phospholipids in Lipoprotein Particles
PUFA,0.61 [0.53-0.71],3.021e-05,***,Polyunsaturated Fatty Acids
M-HDL-L,0.61 [0.52-0.72],0.003,**,Total-Lipids in Medium HDL
M-HDL-CE,0.61 [0.51-0.73],0.012,*,Cholesteryl Esters in Medium HDL
HDL-L,0.61 [0.51-0.73],0.007,**,Total-Lipids in HDL
HDL-C,0.61 [0.50-0.73],0.043,*,HDL Cholesterol
M-HDL-C,0.61 [0.51-0.72],0.007,**,Cholesterol in Medium HDL
LA,0.60 [0.52-0.69],1.366e-06,***,Linoleic Acid
Omega-6,0.60 [0.52-0.69],2.125e-06,***,Omega-6 Fatty Acids
Phosphoglyc,0.60 [0.51-0.70],5.608e-06,***,Phosphoglycerides
PC,0.59 [0.51-0.69],8.303e-06,***,Phosphatidylcholines
Cholines,0.59 [0.51-0.69],2.495e-06,***,Total-Cholines
S-HDL-CE,0.59 [0.50-0.69],5.463e-06,***,Cholesteryl Esters in Small HDL
S-HDL-PL,0.59 [0.50-0.69],1.451e-05,***,Phospholipids in Small HDL
M-HDL-FC,0.59 [0.49-0.71],0.008,**,Free Cholesterol in Medium HDL
M-HDL-P,0.58 [0.48-0.70],0.004,**,Concentration of Medium HDL Particles
S-HDL-L,0.58 [0.50-0.68],1.149e-06,***,Total-Lipids in Small HDL
ApoA1,0.58 [0.49-0.69],1.357e-04,***,Apolipoprotein A1
S-HDL-C,0.58 [0.49-0.67],7.056e-07,***,Cholesterol in Small HDL
S-HDL-FC,0.57 [0.49-0.67],1.925e-06,***,Free Cholesterol in Small HDL
S-HDL-P,0.57 [0.48-0.66],6.540e-07,***,Concentration of Small HDL Particles
HDL-P,0.54 [0.46-0.65],2.549e-06,***,Concentration of HDL Particles
Total-P,0.54 [0.45-0.64],4.082e-07,***,Total-Concentration of Lipoprotein Particles
