Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.43 [1.39-1.47],1.007e-128,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.41 [1.38-1.45],2.727e-136,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.38 [1.34-1.42],1.599e-100,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.36 [1.33-1.40],3.045e-108,***,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,1.35 [1.31-1.39],9.983e-82,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.32 [1.29-1.36],1.699e-91,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,1.31 [1.27-1.35],8.527e-66,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,1.28 [1.23-1.32],5.206e-38,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.28 [1.24-1.31],1.564e-63,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.26 [1.23-1.30],6.204e-59,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-TG%,1.26 [1.22-1.30],9.194e-51,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.26 [1.22-1.30],7.174e-47,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.25 [1.21-1.29],7.298e-44,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.23 [1.19-1.26],4.907e-38,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.22 [1.18-1.25],1.637e-36,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.22 [1.18-1.25],5.664e-35,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,1.21 [1.18-1.24],8.662e-38,***,Triglycerides in Small HDL
GlycA,1.20 [1.17-1.24],1.614e-29,***,Glycoprotein Acetyls
IDL-PL%,1.20 [1.17-1.23],2.627e-33,***,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-TG,1.20 [1.16-1.23],1.850e-33,***,Triglycerides in Small VLDL
XS-VLDL-TG,1.19 [1.16-1.23],6.638e-36,***,Triglycerides in Very Small VLDL
M-HDL-TG%,1.19 [1.15-1.22],3.422e-25,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,1.18 [1.15-1.22],3.717e-21,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG,1.18 [1.15-1.21],2.389e-31,***,Triglycerides in Medium LDL
XL-HDL-FC%,1.17 [1.14-1.21],8.395e-19,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-TG,1.17 [1.14-1.20],1.001e-27,***,Triglycerides in LDL
L-LDL-TG,1.17 [1.14-1.20],3.324e-26,***,Triglycerides in Large LDL
IDL-TG,1.16 [1.13-1.19],1.336e-23,***,Triglycerides in IDL
S-LDL-TG,1.16 [1.13-1.19],1.862e-23,***,Triglycerides in Small LDL
XL-VLDL-TG,1.16 [1.12-1.19],1.497e-20,***,Triglycerides in Very Large VLDL
Total-TG,1.15 [1.12-1.18],7.016e-18,***,Total-Triglycerides
Omega-3%,1.15 [1.12-1.18],1.807e-16,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-TG,1.15 [1.11-1.18],5.208e-16,***,Triglycerides in VLDL
VLDL-size,1.14 [1.11-1.18],9.328e-13,***,Average Diameter for VLDL Particles
XL-VLDL-P,1.14 [1.11-1.17],8.884e-17,***,Concentration of Very Large VLDL Particles
L-VLDL-PL,1.14 [1.11-1.17],1.425e-15,***,Phospholipids in Large VLDL
L-VLDL-TG,1.14 [1.11-1.17],4.440e-16,***,Triglycerides in Large VLDL
Omega-3,1.14 [1.11-1.17],7.644e-15,***,Omega-3 Fatty Acids
L-VLDL-PL%,1.14 [1.10-1.18],1.714e-08,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-VLDL-TG,1.14 [1.11-1.17],1.074e-14,***,Triglycerides in Medium VLDL
L-VLDL-P,1.14 [1.11-1.17],4.754e-15,***,Concentration of Large VLDL Particles
XL-VLDL-L,1.13 [1.10-1.16],2.298e-13,***,Total-Lipids in Very Large VLDL
L-VLDL-L,1.13 [1.10-1.16],8.255e-12,***,Total-Lipids in Large VLDL
L-VLDL-FC,1.13 [1.10-1.16],9.027e-12,***,Free Cholesterol in Large VLDL
Ala,1.12 [1.09-1.16],6.701e-06,***,Alanine
MUFA,1.12 [1.09-1.15],1.158e-10,***,Monounsaturated Fatty Acids
HDL-TG,1.12 [1.09-1.15],7.505e-12,***,Triglycerides in HDL
XL-VLDL-PL,1.12 [1.09-1.15],3.884e-10,***,Phospholipids in Very Large VLDL
XXL-VLDL-P,1.11 [1.09-1.14],1.893e-10,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,1.11 [1.08-1.14],9.080e-10,***,Phospholipids in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.11 [1.08-1.14],2.268e-09,***,Triglycerides in Medium HDL
Creatinine,1.11 [1.08-1.14],1.160e-05,***,Creatinine
S-VLDL-P,1.11 [1.08-1.14],6.438e-08,***,Concentration of Small VLDL Particles
XL-VLDL-FC,1.11 [1.08-1.14],2.034e-07,***,Free Cholesterol in Very Large VLDL
Glu-lactate,1.10 [1.07-1.13],1.320e-06,***,Glucose-lactate
