Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.77 [1.57-2.00],9.405e-15,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.76 [1.56-1.99],5.523e-14,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-TG%,1.71 [1.48-1.97],6.038e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.70 [1.51-1.92],7.581e-13,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.67 [1.46-1.90],9.728e-09,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.66 [1.46-1.88],4.487e-10,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.64 [1.42-1.88],8.528e-07,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,1.61 [1.39-1.86],3.696e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.56 [1.35-1.80],4.502e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG,1.56 [1.38-1.76],2.043e-07,***,Triglycerides in Small HDL
SFA%,1.54 [1.36-1.76],1.017e-05,***,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-TG%,1.53 [1.34-1.75],1.138e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.52 [1.32-1.75],0.001,**,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,1.51 [1.32-1.72],1.776e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,1.51 [1.34-1.70],3.456e-06,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG,1.50 [1.34-1.68],3.280e-07,***,Triglycerides in Very Small VLDL
M-HDL-PL%,1.48 [1.30-1.68],3.808e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
HDL-TG,1.47 [1.31-1.66],2.711e-05,***,Triglycerides in HDL
Glu-lactate,1.47 [1.31-1.66],5.291e-05,***,Glucose-lactate
TG/PG,1.47 [1.29-1.68],0.003,**,Triglycerides to Phosphoglycerides ratio
IDL-TG,1.47 [1.31-1.64],7.980e-06,***,Triglycerides in IDL
LDL-TG,1.46 [1.31-1.64],1.011e-05,***,Triglycerides in LDL
L-LDL-TG,1.46 [1.30-1.64],1.115e-05,***,Triglycerides in Large LDL
M-HDL-TG,1.45 [1.29-1.63],2.001e-04,***,Triglycerides in Medium HDL
M-LDL-TG,1.45 [1.30-1.62],8.691e-06,***,Triglycerides in Medium LDL
Glu,1.45 [1.27-1.65],0.010,**,Glucose
S-VLDL-TG,1.43 [1.26-1.62],0.002,**,Triglycerides in Small VLDL
Total-TG,1.42 [1.25-1.62],0.020,*,Total-Triglycerides
S-LDL-TG,1.41 [1.26-1.58],2.062e-04,***,Triglycerides in Small LDL
XL-VLDL-TG,1.40 [1.24-1.58],0.008,**,Triglycerides in Very Large VLDL
XL-HDL-TG,1.38 [1.23-1.54],0.010,**,Triglycerides in Very Large HDL
XXL-VLDL-P,1.37 [1.22-1.53],0.010,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,1.37 [1.22-1.54],0.021,*,Phospholipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-FC%,0.73 [0.66-0.82],0.005,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,0.72 [0.64-0.80],0.003,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.71 [0.65-0.78],2.692e-08,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.69 [0.62-0.78],6.675e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,0.69 [0.61-0.78],2.798e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.69 [0.62-0.77],1.279e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.69 [0.62-0.76],2.094e-08,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-C%,0.68 [0.61-0.76],8.502e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.68 [0.61-0.77],1.240e-05,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-C%,0.68 [0.62-0.75],2.892e-09,***,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE%,0.67 [0.61-0.74],8.004e-11,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-CE%,0.66 [0.59-0.74],2.327e-07,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.65 [0.59-0.73],1.642e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-C%,0.65 [0.58-0.74],8.370e-07,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-CE%,0.65 [0.58-0.73],1.042e-07,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,0.65 [0.57-0.73],6.795e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.64 [0.58-0.72],3.718e-10,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-CE%,0.64 [0.57-0.71],6.694e-11,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.64 [0.57-0.71],1.432e-10,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.63 [0.56-0.72],3.342e-06,***,Degree of Unsaturation
S-VLDL-FC%,0.63 [0.56-0.71],1.333e-08,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-CE%,0.63 [0.55-0.73],1.429e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-CE%,0.63 [0.57-0.70],1.309e-11,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.63 [0.57-0.70],8.676e-13,***,Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-C%,0.63 [0.54-0.73],3.841e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,0.63 [0.56-0.70],2.683e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-PL%,0.62 [0.54-0.70],2.959e-08,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-6%,0.61 [0.54-0.68],3.414e-12,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.60 [0.54-0.68],1.183e-12,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,0.58 [0.51-0.65],3.020e-13,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.58 [0.50-0.66],4.754e-10,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
