Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.18 [1.12-1.25],0.001,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.17 [1.11-1.24],0.009,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.17 [1.11-1.24],0.009,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
Creatinine,1.16 [1.10-1.23],0.006,**,Creatinine
Gln,1.14 [1.08-1.21],1.000,,Glutamine
Omega-6,0.86 [0.82-0.91],0.049,*,Omega-6 Fatty Acids
PUFA,0.86 [0.82-0.91],0.038,*,Polyunsaturated Fatty Acids
IDL-PL,0.86 [0.82-0.91],0.037,*,Phospholipids in IDL
S-HDL-CE,0.86 [0.81-0.91],0.037,*,Cholesteryl Esters in Small HDL
Total-L,0.86 [0.81-0.91],0.008,**,Total-Lipids in Lipoprotein Particles
IDL-FC,0.86 [0.81-0.91],0.010,**,Free Cholesterol in IDL
Total-FC,0.86 [0.81-0.90],0.006,**,Total-Free Cholesterol
S-HDL-P,0.86 [0.81-0.91],0.015,*,Concentration of Small HDL Particles
IDL-L,0.85 [0.81-0.90],0.003,**,Total-Lipids in IDL
S-HDL-L,0.85 [0.81-0.90],0.008,**,Total-Lipids in Small HDL
IDL-C,0.85 [0.81-0.90],0.001,**,Cholesterol in IDL
IDL-CE,0.85 [0.81-0.90],0.001,**,Cholesteryl Esters in IDL
S-HDL-PL,0.85 [0.80-0.90],0.005,**,Phospholipids in Small HDL
S-HDL-C,0.85 [0.80-0.90],0.003,**,Cholesterol in Small HDL
XL-HDL-CE,0.84 [0.79-0.90],0.048,*,Cholesteryl Esters in Very Large HDL
Total-C,0.84 [0.80-0.89],5.514e-05,***,Total-Cholesterol
S-HDL-FC,0.84 [0.79-0.89],1.511e-04,***,Free Cholesterol in Small HDL
Total-CE,0.84 [0.79-0.88],1.499e-05,***,Total-Esterified Cholesterol
SM,0.83 [0.78-0.87],5.414e-06,***,Sphingomyelins
Total-PL,0.83 [0.78-0.87],1.356e-06,***,Total-Phospholipids in Lipoprotein Particles
Phosphoglyc,0.82 [0.78-0.87],1.611e-06,***,Phosphoglycerides
PC,0.82 [0.78-0.87],7.583e-07,***,Phosphatidylcholines
M-HDL-PL,0.82 [0.77-0.87],3.857e-06,***,Phospholipids in Medium HDL
Cholines,0.82 [0.78-0.87],2.664e-07,***,Total-Cholines
L-HDL-FC,0.82 [0.77-0.87],2.173e-04,***,Free Cholesterol in Large HDL
L-HDL-CE,0.82 [0.77-0.87],1.675e-04,***,Cholesteryl Esters in Large HDL
L-HDL-PL,0.82 [0.77-0.87],5.803e-05,***,Phospholipids in Large HDL
L-HDL-C,0.82 [0.77-0.87],1.248e-04,***,Cholesterol in Large HDL
L-HDL-L,0.82 [0.77-0.87],4.006e-05,***,Total-Lipids in Large HDL
M-HDL-L,0.81 [0.77-0.86],2.962e-07,***,Total-Lipids in Medium HDL
L-HDL-P,0.81 [0.76-0.87],7.324e-05,***,Concentration of Large HDL Particles
M-HDL-FC%,0.81 [0.77-0.86],8.250e-09,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-CE,0.81 [0.76-0.85],1.075e-07,***,Cholesteryl Esters in Medium HDL
HDL-PL,0.80 [0.76-0.85],7.374e-08,***,Phospholipids in HDL
M-HDL-P,0.80 [0.76-0.85],1.281e-07,***,Concentration of Medium HDL Particles
M-HDL-C,0.80 [0.76-0.85],5.201e-08,***,Cholesterol in Medium HDL
HDL-P,0.80 [0.75-0.85],1.154e-08,***,Concentration of HDL Particles
Total-P,0.80 [0.75-0.85],4.997e-09,***,Total-Concentration of Lipoprotein Particles
M-HDL-FC,0.80 [0.75-0.85],3.131e-08,***,Free Cholesterol in Medium HDL
ApoA1,0.80 [0.75-0.85],5.603e-09,***,Apolipoprotein A1
HDL-L,0.80 [0.75-0.85],7.854e-09,***,Total-Lipids in HDL
HDL-CE,0.79 [0.75-0.84],7.245e-09,***,Cholesteryl Esters in HDL
HDL-FC,0.79 [0.74-0.84],1.289e-08,***,Free Cholesterol in HDL
HDL-C,0.79 [0.74-0.84],3.580e-09,***,HDL Cholesterol
