Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.74 [1.60-1.89],2.562e-34,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.70 [1.56-1.86],3.923e-27,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.69 [1.55-1.83],2.787e-30,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.66 [1.51-1.83],1.778e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.64 [1.50-1.80],1.688e-20,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.62 [1.50-1.76],9.084e-27,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.59 [1.46-1.74],4.985e-21,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.55 [1.42-1.69],5.277e-17,***,Phospholipids to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.52 [1.35-1.71],2.978e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Creatinine,1.49 [1.39-1.61],1.577e-20,***,Creatinine
S-LDL-TG%,1.46 [1.34-1.59],3.991e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.37 [1.25-1.49],1.999e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.36 [1.26-1.48],3.034e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.30 [1.18-1.43],0.007,**,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,1.30 [1.18-1.43],0.044,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,1.28 [1.17-1.40],0.039,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.28 [1.17-1.39],0.012,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-CE%,0.80 [0.74-0.87],0.023,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
LDL-size,0.80 [0.74-0.87],0.044,*,Average Diameter for LDL Particles
M-HDL-C%,0.80 [0.73-0.87],0.031,*,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.79 [0.73-0.86],0.003,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.78 [0.73-0.84],2.882e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-CE%,0.78 [0.72-0.85],0.008,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-C%,0.77 [0.70-0.84],9.769e-04,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-CE%,0.76 [0.70-0.83],8.965e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
ApoB/ApoA1,0.76 [0.69-0.83],0.001,**,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-L,0.75 [0.68-0.83],4.440e-04,***,Total-Lipids in Small VLDL
S-LDL-CE%,0.75 [0.69-0.81],2.767e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-PL,0.75 [0.68-0.82],1.225e-04,***,Phospholipids in VLDL
L-VLDL-CE,0.74 [0.68-0.82],3.081e-04,***,Cholesteryl Esters in Large VLDL
DHA,0.74 [0.67-0.82],3.154e-04,***,Docosahexaenoic Acid
XL-VLDL-FC%,0.74 [0.67-0.82],2.735e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.74 [0.68-0.80],1.880e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-HDL-FC%,0.74 [0.69-0.79],2.301e-13,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.74 [0.69-0.80],1.538e-10,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE,0.74 [0.67-0.81],1.239e-04,***,Cholesteryl Esters in Very Large VLDL
S-HDL-FC%,0.74 [0.67-0.81],3.247e-05,***,Free Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-CE%,0.73 [0.67-0.80],6.243e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-PL,0.73 [0.67-0.80],5.015e-06,***,Phospholipids in Medium HDL
XL-HDL-FC,0.72 [0.65-0.80],2.152e-04,***,Free Cholesterol in Very Large HDL
M-VLDL-CE%,0.72 [0.68-0.77],2.492e-20,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-PL,0.72 [0.65-0.80],1.062e-04,***,Phospholipids in Large HDL
M-HDL-L,0.72 [0.65-0.78],1.220e-07,***,Total-Lipids in Medium HDL
S-HDL-PL,0.71 [0.65-0.78],3.826e-08,***,Phospholipids in Small HDL
