Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-CE,0.96 [0.95-0.97],9.523e-04,***,Cholesteryl Esters in LDL
HDL-PL,0.96 [0.95-0.98],0.012,*,Phospholipids in HDL
M-HDL-FC,0.96 [0.95-0.98],0.004,**,Free Cholesterol in Medium HDL
Total-PL,0.96 [0.95-0.97],0.003,**,Total-Phospholipids in Lipoprotein Particles
Cholines,0.96 [0.95-0.97],0.004,**,Total-Cholines
LDL-L,0.96 [0.95-0.97],1.052e-04,***,Total-Lipids in LDL
XXL-VLDL-C%,0.96 [0.95-0.97],6.881e-05,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
ApoA1,0.96 [0.95-0.97],5.841e-04,***,Apolipoprotein A1
Total-P,0.96 [0.95-0.97],1.540e-04,***,Total-Concentration of Lipoprotein Particles
M-HDL-CE,0.96 [0.95-0.97],2.174e-04,***,Cholesteryl Esters in Medium HDL
S-HDL-FC%,0.96 [0.95-0.97],3.938e-05,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-C,0.96 [0.95-0.97],2.090e-04,***,Cholesterol in Medium HDL
LDL-PL,0.96 [0.95-0.97],1.035e-05,***,Phospholipids in LDL
LA,0.96 [0.95-0.97],3.197e-05,***,Linoleic Acid
L-LDL-CE,0.96 [0.95-0.97],7.852e-06,***,Cholesteryl Esters in Large LDL
Remnant-C,0.96 [0.95-0.97],3.485e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-PL%,0.96 [0.95-0.97],2.316e-07,***,Phospholipids to Total-Lipids in Large LDL percentage
LDL-C,0.96 [0.94-0.97],5.498e-07,***,LDL Cholesterol
M-VLDL-C,0.96 [0.94-0.97],1.209e-07,***,Cholesterol in Medium VLDL
Non-HDL-C,0.95 [0.94-0.97],3.010e-07,***,Total-Cholesterol Minus HDL-C
L-LDL-L,0.95 [0.94-0.97],1.463e-07,***,Total-Lipids in Large LDL
XS-VLDL-C,0.95 [0.94-0.97],2.903e-08,***,Cholesterol in Very Small VLDL
M-LDL-FC,0.95 [0.94-0.96],7.772e-09,***,Free Cholesterol in Medium LDL
S-LDL-FC,0.95 [0.94-0.96],3.724e-10,***,Free Cholesterol in Small LDL
L-LDL-C,0.95 [0.94-0.96],2.284e-09,***,Cholesterol in Large LDL
HDL-L,0.95 [0.94-0.96],3.154e-07,***,Total-Lipids in HDL
S-HDL-CE%,0.95 [0.94-0.96],3.946e-10,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-P,0.95 [0.94-0.96],2.215e-11,***,Concentration of IDL Particles
Citrate,0.95 [0.94-0.96],1.283e-10,***,Citrate
L-LDL-PL,0.95 [0.94-0.96],4.048e-11,***,Phospholipids in Large LDL
XL-HDL-PL%,0.95 [0.93-0.96],3.720e-06,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Total-FC,0.95 [0.93-0.96],2.529e-11,***,Total-Free Cholesterol
Albumin,0.95 [0.93-0.96],5.913e-12,***,Albumin
SM,0.95 [0.93-0.96],8.235e-11,***,Sphingomyelins
XL-HDL-CE%,0.95 [0.93-0.96],5.334e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-CE,0.95 [0.93-0.96],6.442e-13,***,Cholesteryl Esters in Very Small VLDL
Clinical LDL-C,0.94 [0.93-0.96],3.164e-13,***,Clinical LDL Cholesterol
IDL-PL,0.94 [0.93-0.96],7.976e-14,***,Phospholipids in IDL
HDL-FC,0.94 [0.93-0.96],7.808e-12,***,Free Cholesterol in HDL
M-VLDL-CE,0.94 [0.93-0.95],3.330e-16,***,Cholesteryl Esters in Medium VLDL
LDL-FC,0.94 [0.93-0.95],6.445e-16,***,Free Cholesterol in LDL
L-HDL-PL,0.94 [0.93-0.95],1.718e-13,***,Phospholipids in Large HDL
L-VLDL-C%,0.94 [0.93-0.95],1.995e-17,***,Cholesterol to Total-Lipids in Large VLDL percentage
Total-C,0.94 [0.93-0.95],1.185e-15,***,Total-Cholesterol
S-HDL-C%,0.94 [0.93-0.95],2.834e-17,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-L,0.94 [0.92-0.95],1.524e-17,***,Total-Lipids in IDL
Total-CE,0.94 [0.92-0.95],6.831e-17,***,Total-Esterified Cholesterol
L-LDL-FC,0.94 [0.92-0.95],5.051e-19,***,Free Cholesterol in Large LDL
HDL-size,0.94 [0.92-0.95],2.904e-15,***,Average Diameter for HDL Particles
XL-HDL-PL,0.94 [0.92-0.95],2.915e-18,***,Phospholipids in Very Large HDL
S-VLDL-CE%,0.93 [0.92-0.95],6.442e-21,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-FC,0.93 [0.92-0.95],1.942e-21,***,Free Cholesterol in Very Large HDL
XL-HDL-P,0.93 [0.92-0.94],2.122e-20,***,Concentration of Very Large HDL Particles
HDL-C,0.93 [0.92-0.95],1.369e-17,***,HDL Cholesterol
L-HDL-FC,0.93 [0.92-0.94],2.179e-19,***,Free Cholesterol in Large HDL
L-HDL-P,0.93 [0.92-0.94],1.456e-19,***,Concentration of Large HDL Particles
HDL-CE,0.93 [0.92-0.94],2.157e-18,***,Cholesteryl Esters in HDL
IDL-CE,0.93 [0.92-0.94],2.193e-22,***,Cholesteryl Esters in IDL
Unsaturation,0.93 [0.92-0.94],4.535e-19,***,Degree of Unsaturation
XL-HDL-L,0.93 [0.92-0.94],1.015e-21,***,Total-Lipids in Very Large HDL
L-HDL-L,0.93 [0.92-0.94],3.678e-19,***,Total-Lipids in Large HDL
M-HDL-CE%,0.93 [0.92-0.94],9.694e-22,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
IDL-C,0.93 [0.92-0.94],2.818e-24,***,Cholesterol in IDL
XL-VLDL-FC%,0.93 [0.92-0.94],6.456e-26,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-FC,0.93 [0.91-0.94],2.879e-26,***,Free Cholesterol in IDL
S-LDL-FC%,0.92 [0.91-0.94],2.237e-27,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-C,0.92 [0.91-0.94],3.161e-27,***,Cholesterol in Very Large HDL
L-VLDL-CE%,0.92 [0.91-0.93],4.145e-28,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-HDL-CE,0.92 [0.91-0.93],1.149e-27,***,Cholesteryl Esters in Very Large HDL
L-HDL-C,0.92 [0.91-0.94],3.520e-25,***,Cholesterol in Large HDL
L-HDL-FC%,0.92 [0.91-0.94],8.506e-20,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE,0.92 [0.91-0.93],6.152e-26,***,Cholesteryl Esters in Large HDL
IDL-CE%,0.92 [0.91-0.93],1.944e-30,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-VLDL-CE%,0.92 [0.91-0.93],3.365e-31,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.92 [0.91-0.93],1.014e-31,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,0.92 [0.91-0.93],5.578e-29,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-PL%,0.92 [0.91-0.93],1.087e-32,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC%,0.92 [0.91-0.93],1.826e-30,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-C%,0.92 [0.90-0.93],5.345e-37,***,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,0.92 [0.90-0.93],7.734e-36,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-FC%,0.91 [0.90-0.93],3.152e-26,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-FC%,0.91 [0.90-0.92],2.959e-36,***,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.91 [0.90-0.92],1.852e-33,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,0.91 [0.90-0.92],4.586e-34,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.91 [0.89-0.92],8.652e-37,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.91 [0.90-0.92],7.926e-49,***,Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,0.91 [0.89-0.92],7.411e-36,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-FC%,0.91 [0.89-0.92],2.405e-43,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.90 [0.89-0.92],5.945e-46,***,Phospholipids to Total-Lipids in Small VLDL percentage
LA%,0.90 [0.89-0.91],6.489e-45,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-FC%,0.90 [0.89-0.91],1.201e-50,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C%,0.90 [0.89-0.91],2.709e-51,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-C%,0.90 [0.89-0.91],1.288e-49,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,0.90 [0.88-0.91],8.452e-44,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,0.90 [0.88-0.91],1.091e-50,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.90 [0.88-0.91],1.942e-43,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,0.89 [0.88-0.90],4.122e-47,***,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC%,0.89 [0.88-0.90],6.185e-63,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.88 [0.87-0.89],7.817e-68,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.88 [0.87-0.89],1.031e-68,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
