Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.13 [1.10-1.16],1.456e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.13 [1.10-1.16],2.087e-11,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,1.13 [1.09-1.16],4.939e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.12 [1.09-1.15],1.755e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-TG%,1.11 [1.08-1.15],1.447e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.11 [1.08-1.14],1.516e-07,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,1.11 [1.08-1.14],7.224e-07,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.11 [1.07-1.14],6.408e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.10 [1.07-1.14],1.149e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-TG%,1.10 [1.07-1.13],6.798e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,1.10 [1.07-1.13],4.472e-04,***,Triglycerides to Phosphoglycerides ratio
MUFA%,1.09 [1.06-1.13],0.010,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.09 [1.06-1.12],0.001,**,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.09 [1.06-1.12],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG%,1.08 [1.05-1.12],0.030,*,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,0.93 [0.90-0.95],0.017,*,Cholesterol to Total-Lipids in Small VLDL percentage
Total-CE,0.93 [0.90-0.95],0.039,*,Total-Esterified Cholesterol
XL-VLDL-C%,0.92 [0.90-0.95],0.020,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.92 [0.90-0.95],0.004,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
3-Hydroxybutyrate,0.92 [0.90-0.95],0.006,**,3-Hydroxybutyrate
M-VLDL-FC%,0.92 [0.90-0.95],0.012,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-P,0.92 [0.90-0.95],0.010,*,Concentration of HDL Particles
Total-P,0.92 [0.89-0.95],0.006,**,Total-Concentration of Lipoprotein Particles
XL-VLDL-CE%,0.92 [0.89-0.95],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-C,0.92 [0.89-0.95],0.005,**,Cholesterol in Medium HDL
PUFA/MUFA,0.92 [0.89-0.95],0.023,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-CE,0.92 [0.89-0.95],0.003,**,Cholesteryl Esters in Medium HDL
S-HDL-C%,0.92 [0.89-0.94],2.579e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
LA%,0.92 [0.89-0.94],0.004,**,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-C,0.92 [0.89-0.95],0.010,**,Cholesterol in Large HDL
S-LDL-FC%,0.92 [0.89-0.94],9.765e-05,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-CE,0.92 [0.89-0.94],0.005,**,Cholesteryl Esters in Large HDL
S-LDL-C%,0.91 [0.89-0.94],3.253e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.91 [0.89-0.94],2.980e-04,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.91 [0.88-0.94],6.323e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.91 [0.88-0.93],2.632e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,0.90 [0.88-0.93],1.260e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-C%,0.90 [0.88-0.93],2.754e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.90 [0.88-0.93],1.780e-05,***,HDL Cholesterol
S-VLDL-PL%,0.90 [0.88-0.93],2.646e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-CE%,0.90 [0.88-0.93],6.037e-08,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-FC%,0.90 [0.88-0.93],2.504e-07,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
HDL-CE,0.90 [0.87-0.93],4.165e-06,***,Cholesteryl Esters in HDL
L-LDL-FC%,0.90 [0.87-0.92],4.475e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Citrate,0.90 [0.87-0.92],4.182e-08,***,Citrate
XL-HDL-CE%,0.90 [0.87-0.93],5.014e-07,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-CE%,0.90 [0.87-0.93],2.015e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
